step,reward,fall_rate,avg_velocity,torso_pitch_rms,energy_proxy
1.0,-4325.0352,0.9417,0.0,0.0096,0.0019
2.0,-9830.835,0.9186,0.0,0.211,0.0018
3.0,-13281.416,0.8994,0.0,0.1253,0.0018
4.0,-14718.2842,0.8922,0.0,0.0262,0.0018
5.0,-18974.0938,0.8679,0.0,0.0222,0.0019
6.0,-25956.5547,0.8285,0.0,0.0199,0.0019
7.0,-39997.0195,0.7471,0.0,0.0022,0.0019
8.0,-44732.1836,0.7226,0.0,0.0003,0.0019
9.0,-44243.6758,0.7251,0.0,0.0083,0.0019
10.0,-42681.1797,0.7346,0.0,0.0044,0.0019
11.0,-42854.6836,0.7326,0.0,0.0147,0.0018
12.0,-41644.9062,0.7398,0.0,0.0014,0.0019
13.0,-37602.2383,0.7624,0.0,0.0326,0.0019
14.0,-36645.6133,0.7674,0.0,0.0042,0.0018
15.0,-40946.9609,0.7439,0.0,0.0096,0.0019
16.0,-42656.3828,0.7331,0.0,0.0202,0.0019
17.0,-41923.7266,0.7368,0.0,0.0,0.0019
18.0,-41864.3203,0.736,0.0,0.0277,0.0019
19.0,-39254.2891,0.75,0.0,0.0553,0.0019
